N,spots,strike,tau,type,ask,vol
10,549.21,550,0.0493151,C,8.2,0.176933
10,549.21,560,0.0493151,C,4.1,0.170029
10,549.21,565,0.0493151,C,2.7,0.16742
10,549.21,570,0.0493151,C,1.8,0.166173
10,549.21,580,0.0493151,C,0.8,0.177042
10,549.21,500,0.0493151,P,0.4,0.238285
10,549.21,550,0.0493151,P,8.9,0.177883
10,553.95,540,0.0465753,C,19.4,0.230424
10,553.95,545,0.0465753,C,13.9,0.178366
10,553.95,550,0.0465753,C,10.6,0.174327
10,553.95,560,0.0465753,C,5.5,0.165306
10,553.95,565,0.0465753,C,3.8,0.169226
10,553.95,570,0.0465753,C,2.45,0.164458
10,553.95,580,0.0465753,C,1,0.172824
10,553.95,585,0.0465753,C,0.65,0.17106
10,553.95,590,0.0465753,C,0.5,0.179811
10,553.95,600,0.0465753,C,0.2,0.197235
10,553.95,535,0.0465753,P,2.25,0.181655
10,553.95,540,0.0465753,P,3.2,0.184056
10,553.95,550,0.0465753,P,6.3,0.169496
10,555.29,550,0.0438356,C,10.9,0.167392
10,555.29,560,0.0438356,C,5.6,0.161185
10,555.29,570,0.0438356,C,2.4,0.160158
10,555.29,525,0.0438356,P,0.85,0.201014
10,555.29,535,0.0438356,P,1.8,0.179181
10,555.29,550,0.0438356,P,5.6,0.169864
100,549.21,550,0.0493151,C,8.2,0.174861
100,549.21,560,0.0493151,C,4.1,0.170056
100,549.21,565,0.0493151,C,2.7,0.167813
100,549.21,570,0.0493151,C,1.8,0.16941
100,549.21,580,0.0493151,C,0.8,0.175021
100,549.21,500,0.0493151,P,0.4,0.236855
100,549.21,550,0.0493151,P,8.9,0.175797
100,553.95,540,0.0465753,C,19.4,0.232136
100,553.95,545,0.0465753,C,13.9,0.182533
100,553.95,550,0.0465753,C,10.6,0.176918
100,553.95,560,0.0465753,C,5.5,0.168933
100,553.95,565,0.0465753,C,3.8,0.168432
100,553.95,570,0.0465753,C,2.45,0.166134
100,553.95,580,0.0465753,C,1,0.167133
100,553.95,585,0.0465753,C,0.65,0.170507
100,553.95,590,0.0465753,C,0.5,0.180766
100,553.95,600,0.0465753,C,0.2,0.186348
100,553.95,535,0.0465753,P,2.25,0.184068
100,553.95,540,0.0465753,P,3.2,0.179029
100,553.95,550,0.0465753,P,6.3,0.172233
100,555.29,550,0.0438356,C,10.9,0.170963
100,555.29,560,0.0438356,C,5.6,0.1646
100,555.29,570,0.0438356,C,2.4,0.161098
100,555.29,525,0.0438356,P,0.85,0.195326
100,555.29,535,0.0438356,P,1.8,0.182423
100,555.29,550,0.0438356,P,5.6,0.173479
1000,549.21,550,0.0493151,C,8.2,0.175065
1000,549.21,560,0.0493151,C,4.1,0.170354
1000,549.21,565,0.0493151,C,2.7,0.167709
1000,549.21,570,0.0493151,C,1.8,0.168856
1000,549.21,580,0.0493151,C,0.8,0.174512
1000,549.21,500,0.0493151,P,0.4,0.236514
1000,549.21,550,0.0493151,P,8.9,0.176002
1000,553.95,540,0.0465753,C,19.4,0.232622
1000,553.95,545,0.0465753,C,13.9,0.182027
1000,553.95,550,0.0465753,C,10.6,0.17685
1000,553.95,560,0.0465753,C,5.5,0.169344
1000,553.95,565,0.0465753,C,3.8,0.168549
1000,553.95,570,0.0465753,C,2.45,0.165744
1000,553.95,580,0.0465753,C,1,0.167281
1000,553.95,585,0.0465753,C,0.65,0.170593
1000,553.95,590,0.0465753,C,0.5,0.180356
1000,553.95,600,0.0465753,C,0.2,0.185285
1000,553.95,535,0.0465753,P,2.25,0.184241
1000,553.95,540,0.0465753,P,3.2,0.17914
1000,553.95,550,0.0465753,P,6.3,0.172108
1000,555.29,550,0.0438356,C,10.9,0.171241
1000,555.29,560,0.0438356,C,5.6,0.164866
1000,555.29,570,0.0438356,C,2.4,0.160804
1000,555.29,525,0.0438356,P,0.85,0.195227
1000,555.29,535,0.0438356,P,1.8,0.182427
1000,555.29,550,0.0438356,P,5.6,0.173728
10000,549.21,550,0.0493151,C,8.2,0.175074
10000,549.21,560,0.0493151,C,4.1,0.170379
10000,549.21,565,0.0493151,C,2.7,0.167713
10000,549.21,570,0.0493151,C,1.8,0.168842
10000,549.21,580,0.0493151,C,0.8,0.174531
10000,549.21,500,0.0493151,P,0.4,0.236434
10000,549.21,550,0.0493151,P,8.9,0.176011
10000,553.95,540,0.0465753,C,19.4,0.232651
10000,553.95,545,0.0465753,C,13.9,0.182063
10000,553.95,550,0.0465753,C,10.6,0.176868
10000,553.95,560,0.0465753,C,5.5,0.16933
10000,553.95,565,0.0465753,C,3.8,0.168561
10000,553.95,570,0.0465753,C,2.45,0.165743
10000,553.95,580,0.0465753,C,1,0.167288
10000,553.95,585,0.0465753,C,0.65,0.170599
10000,553.95,590,0.0465753,C,0.5,0.180324
10000,553.95,600,0.0465753,C,0.2,0.185236
10000,553.95,535,0.0465753,P,2.25,0.184275
10000,553.95,540,0.0465753,P,3.2,0.179147
10000,553.95,550,0.0465753,P,6.3,0.172112
10000,555.29,550,0.0438356,C,10.9,0.171207
10000,555.29,560,0.0438356,C,5.6,0.164836
10000,555.29,570,0.0438356,C,2.4,0.160832
10000,555.29,525,0.0438356,P,0.85,0.195248
10000,555.29,535,0.0438356,P,1.8,0.182429
10000,555.29,550,0.0438356,P,5.6,0.17369
