N,vol,price,time
1,1.398777008056641e-01,1.034341138829456e+01,2.300000000000000e+01
2,1.911499023437500e-01,7.487299299361537e+00,1.100000000000000e+01
3,1.615108489990235e-01,8.915400525835267e+00,1.600000000000000e+01
4,1.819725036621094e-01,7.878295545010346e+00,1.900000000000000e+01
5,1.668060302734375e-01,8.622216556613621e+00,1.900000000000000e+01
6,1.790802001953125e-01,8.009953438510658e+00,2.200000000000000e+01
7,1.691711425781250e-01,8.497173629763372e+00,2.400000000000000e+01
8,1.777126312255860e-01,8.073737150461476e+00,3.200000000000000e+01
9,1.705078125000000e-01,8.428033427261438e+00,2.100000000000000e+01
10,1.769332885742188e-01,8.110551049657616e+00,3.500000000000000e+01
11,1.713665008544922e-01,8.384192643560406e+00,4.300000000000000e+01
12,1.764381408691406e-01,8.134124679516535e+00,4.400000000000000e+01
13,1.719642639160156e-01,8.353923365952529e+00,5.600000000000000e+01
14,1.761001586914063e-01,8.150297051860294e+00,4.900000000000000e+01
15,1.724044799804688e-01,8.331772229366075e+00,5.100000000000000e+01
16,1.758571624755859e-01,8.161950049666721e+00,6.100000000000000e+01
17,1.727420806884765e-01,8.314861110017340e+00,7.100000000000000e+01
18,1.756763458251953e-01,8.170660562777330e+00,6.800000000000000e+01
19,1.730091094970703e-01,8.301528072405167e+00,7.200000000000000e+01
20,1.755374908447266e-01,8.177359519748126e+00,7.800000000000000e+01
21,1.732254028320313e-01,8.290746557066017e+00,7.600000000000000e+01
22,1.754283905029297e-01,8.182629556548713e+00,8.600000000000000e+01
23,1.734046936035156e-01,8.281848313621222e+00,8.700000000000000e+01
24,1.753410339355469e-01,8.186852630516652e+00,9.200000000000000e+01
25,1.735553741455078e-01,8.274379654374460e+00,1.020000000000000e+02
26,1.752700805664063e-01,8.190288768731548e+00,9.700000000000000e+01
27,1.736839294433594e-01,8.268021755778689e+00,1.060000000000000e+02
28,1.752117156982422e-01,8.193120622728138e+00,1.170000000000000e+02
29,1.737945556640625e-01,8.262544021507368e+00,1.060000000000000e+02
30,1.751632690429688e-01,8.195479927784938e+00,1.180000000000000e+02
31,1.738910675048828e-01,8.257775543438257e+00,1.340000000000000e+02
32,1.751220703125000e-01,8.197463867428183e+00,1.110000000000000e+02
33,1.739761352539063e-01,8.253586965829815e+00,1.390000000000000e+02
34,1.750877380371094e-01,8.199145550609032e+00,1.450000000000000e+02
35,1.740512847900391e-01,8.249878582382955e+00,1.580000000000000e+02
36,1.750579833984375e-01,8.200580922559178e+00,1.420000000000000e+02
37,1.741184234619141e-01,8.246572302726484e+00,1.690000000000000e+02
38,1.750328063964844e-01,8.201813443190872e+00,1.700000000000000e+02
39,1.741786956787109e-01,8.243606096382823e+00,1.840000000000000e+02
40,1.750106811523438e-01,8.202877327358856e+00,1.730000000000000e+02
41,1.742332458496094e-01,8.240930066492497e+00,1.880000000000000e+02
42,1.749919891357422e-01,8.203799834955033e+00,2.010000000000000e+02
43,1.742828369140625e-01,8.238503621608887e+00,1.820000000000000e+02
44,1.749752044677735e-01,8.204602918973205e+00,2.170000000000000e+02
45,1.743278503417969e-01,8.236293403256182e+00,2.140000000000000e+02
46,1.749610900878906e-01,8.205304430918844e+00,2.430000000000000e+02
47,1.743686676025391e-01,8.234271743706561e+00,2.470000000000000e+02
48,1.749481201171875e-01,8.205919015505007e+00,2.300000000000000e+02
49,1.744068145751953e-01,8.232415502192858e+00,2.680000000000000e+02
50,1.749370574951172e-01,8.206458783584702e+00,2.830000000000000e+02
51,1.744415283203125e-01,8.230705175475338e+00,2.340000000000000e+02
52,1.749275207519532e-01,8.206933824500391e+00,2.630000000000000e+02
53,1.744739532470703e-01,8.229124210181107e+00,2.810000000000000e+02
54,1.749187469482422e-01,8.207352600488765e+00,3.310000000000000e+02
55,1.745037078857422e-01,8.227658465436694e+00,3.300000000000000e+02
56,1.749111175537109e-01,8.207722253447885e+00,3.160000000000000e+02
57,1.745315551757813e-01,8.226295788849439e+00,2.890000000000000e+02
58,1.749046325683594e-01,8.208048845764900e+00,3.130000000000000e+02
59,1.745574951171875e-01,8.225025678865357e+00,2.680000000000000e+02
60,1.748985290527344e-01,8.208337551041707e+00,2.920000000000000e+02
61,1.745815277099610e-01,8.223839013668107e+00,3.190000000000000e+02
62,1.748935699462891e-01,8.208592806383320e+00,3.200000000000000e+02
63,1.746044158935547e-01,8.222727831798807e+00,3.580000000000000e+02
64,1.748886108398438e-01,8.208818434878623e+00,3.060000000000000e+02
65,1.746257781982422e-01,8.221685153341367e+00,3.570000000000000e+02
66,1.748847961425781e-01,8.209017744845996e+00,3.580000000000000e+02
67,1.746456146240235e-01,8.220704833198797e+00,3.510000000000000e+02
68,1.748809814453125e-01,8.209193610730418e+00,4.270000000000000e+02
69,1.746646881103516e-01,8.219781439889010e+00,5.170000000000000e+02
70,1.748779296875000e-01,8.209348539497826e+00,3.430000000000000e+02
71,1.746826171875000e-01,8.218910154911596e+00,3.170000000000000e+02
72,1.748752593994141e-01,8.209484725409894e+00,4.390000000000000e+02
73,1.746994018554688e-01,8.218086688622451e+00,4.120000000000000e+02
74,1.748725891113281e-01,8.209604095464927e+00,4.540000000000000e+02
75,1.747150421142578e-01,8.217307209636179e+00,5.340000000000000e+02
76,1.748706817626953e-01,8.209708347301483e+00,6.350000000000000e+02
77,1.747303009033203e-01,8.216568285219438e+00,5.290000000000000e+02
78,1.748687744140625e-01,8.209798980961192e+00,5.950000000000000e+02
79,1.747447967529297e-01,8.215866830751194e+00,5.800000000000000e+02
80,1.748672485351563e-01,8.209877325603824e+00,4.980000000000000e+02
81,1.747581481933594e-01,8.215200066697548e+00,5.610000000000000e+02
82,1.748657226562500e-01,8.209944562126134e+00,4.290000000000000e+02
83,1.747711181640625e-01,8.214565481801706e+00,4.860000000000000e+02
84,1.748645782470703e-01,8.210001742339665e+00,6.330000000000000e+02
85,1.747837066650390e-01,8.213960801472853e+00,6.030000000000000e+02
86,1.748634338378906e-01,8.210049805313217e+00,5.990000000000000e+02
87,1.747955322265625e-01,8.213383960559016e+00,5.480000000000000e+02
88,1.748626708984375e-01,8.210089591367783e+00,5.540000000000000e+02
89,1.748069763183594e-01,8.212833079778026e+00,4.280000000000000e+02
90,1.748619079589844e-01,8.210121854073286e+00,4.350000000000000e+02
91,1.748176574707031e-01,8.212306445266066e+00,6.160000000000000e+02
92,1.748615264892578e-01,8.210147270589609e+00,6.610000000000000e+02
93,1.748279571533203e-01,8.211802490772930e+00,6.780000000000000e+02
94,1.748611450195313e-01,8.210166450595894e+00,6.220000000000000e+02
95,1.748378753662110e-01,8.211319782104814e+00,6.900000000000000e+02
96,1.748607635498047e-01,8.210179944041071e+00,7.010000000000000e+02
97,1.748474121093750e-01,8.210857003492166e+00,5.990000000000000e+02
98,1.748607635498047e-01,8.210188247857815e+00,7.410000000000000e+02
99,1.748565673828125e-01,8.210412945615431e+00,6.400000000000000e+02
100,1.748607635498047e-01,8.210191811837303e+00,7.480000000000000e+02
101,1.748649597167969e-01,8.209986495047207e+00,7.430000000000000e+02
102,1.748607635498047e-01,8.210191043751278e+00,7.750000000000000e+02
103,1.748733520507813e-01,8.209576624950586e+00,7.260000000000000e+02
104,1.748607635498047e-01,8.210186313845504e+00,7.970000000000000e+02
105,1.748817443847656e-01,8.209182386796565e+00,7.750000000000000e+02
106,1.748611450195313e-01,8.210177958780340e+00,7.750000000000000e+02
