N,vol,time
1,1.398777008056641e-01,1.400000000000000e+01
2,1.911499023437500e-01,9.000000000000000e+00
3,1.615108489990235e-01,1.100000000000000e+01
4,1.819725036621094e-01,1.300000000000000e+01
5,1.668060302734375e-01,1.500000000000000e+01
6,1.790802001953125e-01,1.500000000000000e+01
7,1.691711425781250e-01,1.600000000000000e+01
8,1.777126312255860e-01,2.400000000000000e+01
9,1.705078125000000e-01,1.400000000000000e+01
10,1.769332885742188e-01,2.400000000000000e+01
11,1.713665008544922e-01,4.000000000000000e+01
12,1.764381408691406e-01,4.100000000000000e+01
13,1.719642639160156e-01,3.200000000000000e+01
14,1.761001586914063e-01,3.300000000000000e+01
15,1.724044799804688e-01,3.500000000000000e+01
16,1.758571624755859e-01,4.300000000000000e+01
17,1.727420806884765e-01,4.700000000000000e+01
18,1.756763458251953e-01,5.100000000000000e+01
19,1.730091094970703e-01,5.400000000000000e+01
20,1.755374908447266e-01,6.000000000000000e+01
21,1.732254028320313e-01,7.400000000000000e+01
22,1.754283905029297e-01,8.500000000000000e+01
23,1.734046936035156e-01,8.500000000000000e+01
24,1.753410339355469e-01,8.700000000000000e+01
25,1.735553741455078e-01,9.800000000000000e+01
26,1.752700805664063e-01,9.300000000000000e+01
27,1.736839294433594e-01,1.030000000000000e+02
28,1.752117156982422e-01,1.140000000000000e+02
29,1.737945556640625e-01,1.040000000000000e+02
30,1.751632690429688e-01,1.110000000000000e+02
31,1.738910675048828e-01,1.270000000000000e+02
32,1.751220703125000e-01,9.600000000000000e+01
33,1.739761352539063e-01,1.260000000000000e+02
34,1.750877380371094e-01,1.380000000000000e+02
35,1.740512847900391e-01,1.510000000000000e+02
36,1.750579833984375e-01,1.520000000000000e+02
37,1.741184234619141e-01,1.670000000000000e+02
38,1.750328063964844e-01,1.740000000000000e+02
39,1.741786956787109e-01,1.870000000000000e+02
40,1.750106811523438e-01,1.760000000000000e+02
41,1.742332458496094e-01,2.050000000000000e+02
42,1.749919891357422e-01,2.110000000000000e+02
43,1.742828369140625e-01,1.840000000000000e+02
44,1.749752044677735e-01,2.200000000000000e+02
45,1.743278503417969e-01,2.110000000000000e+02
46,1.749610900878906e-01,2.250000000000000e+02
47,1.743686676025391e-01,2.350000000000000e+02
48,1.749481201171875e-01,2.120000000000000e+02
49,1.744068145751953e-01,2.510000000000000e+02
50,1.749370574951172e-01,2.620000000000000e+02
51,1.744415283203125e-01,2.270000000000000e+02
52,1.749275207519532e-01,2.680000000000000e+02
53,1.744739532470703e-01,2.770000000000000e+02
54,1.749187469482422e-01,2.930000000000000e+02
55,1.745037078857422e-01,2.960000000000000e+02
56,1.749111175537109e-01,2.960000000000000e+02
57,1.745315551757813e-01,2.740000000000000e+02
58,1.749046325683594e-01,2.950000000000000e+02
59,1.745574951171875e-01,2.820000000000000e+02
60,1.748985290527344e-01,3.090000000000000e+02
61,1.745815277099610e-01,3.320000000000000e+02
62,1.748935699462891e-01,3.400000000000000e+02
63,1.746044158935547e-01,3.500000000000000e+02
64,1.748886108398438e-01,3.530000000000000e+02
65,1.746257781982422e-01,4.050000000000000e+02
66,1.748847961425781e-01,3.790000000000000e+02
67,1.746456146240235e-01,3.970000000000000e+02
68,1.748809814453125e-01,3.440000000000000e+02
69,1.746646881103516e-01,4.060000000000000e+02
70,1.748779296875000e-01,3.030000000000000e+02
71,1.746826171875000e-01,2.770000000000000e+02
72,1.748752593994141e-01,3.890000000000000e+02
73,1.746994018554688e-01,3.620000000000000e+02
74,1.748725891113281e-01,3.870000000000000e+02
75,1.747150421142578e-01,4.050000000000000e+02
76,1.748706817626953e-01,5.250000000000000e+02
