N,spots,strike,tau,type,ask,vol,time
10,549.21,550,0.0493151,C,8.2,1.769332885742188e-01,2.900000000000000e+01
10,5.492100000000000e+02,5.600000000000000e+02,4.931506849315068e-02,C,4.100000000000000e+00,1.700290679931641e-01,3.600000000000000e+01
10,5.492100000000000e+02,5.650000000000000e+02,4.931506849315068e-02,C,2.700000000000000e+00,1.674201965332032e-01,3.500000000000000e+01
10,5.492100000000000e+02,5.700000000000000e+02,4.931506849315068e-02,C,1.800000000000000e+00,1.661727905273438e-01,3.200000000000000e+01
10,5.492100000000000e+02,5.800000000000000e+02,4.931506849315068e-02,C,8.000000000000000e-01,1.770431518554688e-01,3.200000000000000e+01
10,5.492100000000000e+02,5.000000000000000e+02,4.931506849315068e-02,P,4.000000000000000e-01,2.382858276367187e-01,3.300000000000000e+01
10,5.492100000000000e+02,5.500000000000000e+02,4.931506849315068e-02,P,8.900000000000000e+00,1.778827667236328e-01,3.600000000000000e+01
10,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,C,1.940000000000000e+01,2.304237365722656e-01,3.400000000000000e+01
10,5.539500000000000e+02,5.450000000000000e+02,4.657534246575343e-02,C,1.390000000000000e+01,1.783660888671875e-01,3.200000000000000e+01
10,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,C,1.060000000000000e+01,1.743270874023438e-01,3.200000000000000e+01
10,5.539500000000000e+02,5.600000000000000e+02,4.657534246575343e-02,C,5.500000000000000e+00,1.653060913085938e-01,3.300000000000000e+01
10,5.539500000000000e+02,5.650000000000000e+02,4.657534246575343e-02,C,3.800000000000000e+00,1.692264556884766e-01,3.600000000000000e+01
10,5.539500000000000e+02,5.700000000000000e+02,4.657534246575343e-02,C,2.450000000000000e+00,1.644580841064453e-01,3.600000000000000e+01
10,5.539500000000000e+02,5.800000000000000e+02,4.657534246575343e-02,C,1.000000000000000e+00,1.728237152099610e-01,3.700000000000000e+01
10,5.539500000000000e+02,5.850000000000000e+02,4.657534246575343e-02,C,6.500000000000000e-01,1.710601806640625e-01,3.100000000000000e+01
10,5.539500000000000e+02,5.900000000000000e+02,4.657534246575343e-02,C,5.000000000000000e-01,1.798103332519532e-01,3.400000000000000e+01
10,5.539500000000000e+02,6.000000000000000e+02,4.657534246575343e-02,C,2.000000000000000e-01,1.972351074218750e-01,3.300000000000000e+01
10,5.539500000000000e+02,5.350000000000000e+02,4.657534246575343e-02,P,2.250000000000000e+00,1.816551208496094e-01,3.400000000000000e+01
10,5.539500000000000e+02,5.400000000000000e+02,4.657534246575343e-02,P,3.200000000000000e+00,1.840560913085937e-01,3.200000000000000e+01
10,5.539500000000000e+02,5.500000000000000e+02,4.657534246575343e-02,P,6.300000000000000e+00,1.694957733154297e-01,3.500000000000000e+01
10,5.552900000000000e+02,5.500000000000000e+02,4.383561643835616e-02,C,1.090000000000000e+01,1.673919677734375e-01,3.000000000000000e+01
10,5.552900000000000e+02,5.600000000000000e+02,4.383561643835616e-02,C,5.600000000000000e+00,1.611846923828126e-01,3.200000000000000e+01
10,5.552900000000000e+02,5.700000000000000e+02,4.383561643835616e-02,C,2.400000000000000e+00,1.601585388183595e-01,3.400000000000000e+01
10,5.552900000000000e+02,5.250000000000000e+02,4.383561643835616e-02,P,8.500000000000000e-01,2.010131835937500e-01,2.900000000000000e+01
