N,spots,strike,tau,type,ask,vol,price,diff,absdiff
10000,549.21,550,0.0493151,C,8.2,0.175079,8.20024,0.000236904,0.000236904
10000,549.21,560,0.0493151,C,4.1,0.170382,4.10013,0.000131087,0.000131087
10000,549.21,565,0.0493151,C,2.7,0.167716,2.70009,9.11665e-05,9.11665e-05
10000,549.21,570,0.0493151,C,1.8,0.16884,1.79995,-4.77606e-05,4.77606e-05
10000,549.21,580,0.0493151,C,0.8,0.174525,0.799881,-0.000119377,0.000119377
10000,549.21,500,0.0493151,P,0.4,0.236432,0.400088,8.78292e-05,8.78292e-05
10000,549.21,550,0.0493151,P,8.9,0.176016,8.90654,0.00654441,0.00654441
10000,553.95,540,0.0465753,C,19.4,0.232656,19.4002,0.000189486,0.000189486
10000,553.95,545,0.0465753,C,13.9,0.182059,13.8998,-0.00019353,0.00019353
10000,553.95,550,0.0465753,C,10.6,0.17687,10.6001,8.41612e-05,8.41612e-05
10000,553.95,560,0.0465753,C,5.5,0.169334,5.50019,0.000193259,0.000193259
10000,553.95,565,0.0465753,C,3.8,0.168562,3.80005,4.57036e-05,4.57036e-05
10000,553.95,570,0.0465753,C,2.45,0.165746,2.45011,0.000112992,0.000112992
10000,553.95,580,0.0465753,C,1,0.167287,0.999987,-1.31966e-05,1.31966e-05
10000,553.95,585,0.0465753,C,0.65,0.170599,0.649998,-1.77586e-06,1.77586e-06
10000,553.95,590,0.0465753,C,0.5,0.180324,0.499991,-9.10731e-06,9.10731e-06
10000,553.95,600,0.0465753,C,0.2,0.185236,0.199993,-7.34388e-06,7.34388e-06
10000,553.95,535,0.0465753,P,2.25,0.184271,2.25092,0.000920056,0.000920056
10000,553.95,540,0.0465753,P,3.2,0.17915,3.20173,0.00172862,0.00172862
10000,553.95,550,0.0465753,P,6.3,0.172108,6.30384,0.0038416,0.0038416
10000,555.29,550,0.0438356,C,10.9,0.171209,10.9001,8.25383e-05,8.25383e-05
10000,555.29,560,0.0438356,C,5.6,0.164837,5.60006,6.00218e-05,6.00218e-05
10000,555.29,570,0.0438356,C,2.4,0.160834,2.40007,7.15253e-05,7.15253e-05
10000,555.29,525,0.0438356,P,0.85,0.195245,0.850232,0.000231948,0.000231948
10000,555.29,535,0.0438356,P,1.8,0.182426,1.80069,0.000686623,0.000686623
10000,555.29,550,0.0438356,P,5.6,0.173694,5.60352,0.00351682,0.00351682
